"Region","Year","InfantMortalityRate","NeonatalMortalityRate"
"Africa","2016","52.3","27.2"
"Africa","2015","53.9","27.7"
"Africa","2014","55.6","28.4"
"Africa","2013","57.5","29.1"
"Africa","2012","59.5","29.9"
"Africa","2011","61.7","30.7"
"Africa","2010","64.0","31.5"
"Africa","2009","66.5","32.3"
"Africa","2008","69.2","33.2"
"Africa","2007","72.0","34.1"
"Africa","2006","75.0","35.0"
"Africa","2005","78.0","36.0"
"Africa","2004","81.2","37.0"
"Africa","2003","84.5","38.0"
"Africa","2002","87.6","39.0"
"Africa","2001","90.7","40.0"
"Africa","2000","93.5","40.9"
"Africa","1999","96.0","41.8"
"Africa","1998","98.2","42.5"
"Africa","1997","100.0","43.1"
"Africa","1996","101.4","43.6"
"Africa","1995","102.6","44.0"
"Africa","1994","103.7","44.3"
"Africa","1993","104.4","44.6"
"Africa","1992","105.0","44.9"
"Africa","1991","105.8","45.2"
"Africa","1990","106.5","45.5"
"Americas","2016","12.1","7.5"
"Americas","2015","12.5","7.8"
"Americas","2014","12.9","8.0"
"Americas","2013","13.3","8.3"
"Americas","2012","13.8","8.5"
"Americas","2011","14.2","8.7"
"Americas","2010","15.1","8.9"
"Americas","2009","15.2","9.1"
"Americas","2008","15.7","9.3"
"Americas","2007","16.3","9.6"
"Americas","2006","16.9","9.9"
"Americas","2005","17.6","10.3"
"Americas","2004","18.4","10.7"
"Americas","2003","19.2","11.1"
"Americas","2002","20.1","11.6"
"Americas","2001","21.1","12.1"
"Americas","2000","22.1","12.6"
"Americas","1999","23.2","13.1"
"Americas","1998","24.4","13.7"
"Americas","1997","25.5","14.2"
"Americas","1996","26.7","14.8"
"Americas","1995","28.0","15.4"
"Americas","1994","29.3","15.9"
"Americas","1993","30.6","16.5"
"Americas","1992","31.9","17.0"
"Americas","1991","33.2","17.6"
"Americas","1990","34.5","18.2"
"South-East Asia","2016","31.5","22.6"
"South-East Asia","2015","32.9","23.4"
"South-East Asia","2014","34.4","24.4"
"South-East Asia","2013","36.0","25.3"
"South-East Asia","2012","37.7","26.4"
"South-East Asia","2011","39.4","27.4"
"South-East Asia","2010","41.3","28.5"
"South-East Asia","2009","43.2","29.7"
"South-East Asia","2008","45.2","30.8"
"South-East Asia","2007","47.0","31.9"
"South-East Asia","2006","49.0","33.1"
"South-East Asia","2005","50.9","34.2"
"South-East Asia","2004","53.0","35.4"
"South-East Asia","2003","54.9","36.6"
"South-East Asia","2002","57.0","37.9"
"South-East Asia","2001","59.2","39.3"
"South-East Asia","2000","61.5","40.6"
"South-East Asia","1999","63.7","41.9"
"South-East Asia","1998","66.0","43.2"
"South-East Asia","1997","68.3","44.5"
"South-East Asia","1996","70.5","45.7"
"South-East Asia","1995","72.7","46.9"
"South-East Asia","1994","74.8","48.0"
"South-East Asia","1993","77.0","49.2"
"South-East Asia","1992","79.1","50.4"
"South-East Asia","1991","81.3","51.5"
"South-East Asia","1990","83.6","52.7"
"Europe","2016","8.3","5.1"
"Europe","2015","8.7","5.3"
"Europe","2014","9.1","5.5"
"Europe","2013","9.5","5.7"
"Europe","2012","9.9","5.9"
"Europe","2011","10.4","6.2"
"Europe","2010","10.9","6.4"
"Europe","2009","11.4","6.7"
"Europe","2008","11.9","7.0"
"Europe","2007","12.4","7.3"
"Europe","2006","13.1","7.7"
"Europe","2005","13.7","8.1"
"Europe","2004","14.5","8.5"
"Europe","2003","15.3","8.9"
"Europe","2002","16.1","9.4"
"Europe","2001","17.0","9.9"
"Europe","2000","17.9","10.3"
"Europe","1999","18.9","10.8"
"Europe","1998","19.8","11.3"
"Europe","1997","20.7","11.7"
"Europe","1996","21.6","12.2"
"Europe","1995","22.4","12.6"
"Europe","1994","23.1","13.0"
"Europe","1993","23.6","13.2"
"Europe","1992","24.1","13.5"
"Europe","1991","24.4","13.7"
"Europe","1990","24.9","13.9"
"Eastern Mediterranean","2016","40.6","27.7"
"Eastern Mediterranean","2015","41.4","28.2"
"Eastern Mediterranean","2014","42.4","28.8"
"Eastern Mediterranean","2013","43.5","29.4"
"Eastern Mediterranean","2012","44.6","30.1"
"Eastern Mediterranean","2011","45.7","30.7"
"Eastern Mediterranean","2010","46.9","31.4"
"Eastern Mediterranean","2009","48.1","31.9"
"Eastern Mediterranean","2008","49.5","32.5"
"Eastern Mediterranean","2007","50.8","33.1"
"Eastern Mediterranean","2006","52.1","33.8"
"Eastern Mediterranean","2005","53.4","34.5"
"Eastern Mediterranean","2004","54.7","35.3"
"Eastern Mediterranean","2003","56.0","36.1"
"Eastern Mediterranean","2002","57.5","36.9"
"Eastern Mediterranean","2001","59.0","37.8"
"Eastern Mediterranean","2000","60.6","38.6"
"Eastern Mediterranean","1999","62.2","39.5"
"Eastern Mediterranean","1998","63.7","40.3"
"Eastern Mediterranean","1997","65.3","41.1"
"Eastern Mediterranean","1996","66.8","41.7"
"Eastern Mediterranean","1995","68.2","42.3"
"Eastern Mediterranean","1994","69.6","42.8"
"Eastern Mediterranean","1993","71.0","43.1"
"Eastern Mediterranean","1992","72.4","43.2"
"Eastern Mediterranean","1991","73.9","43.3"
"Eastern Mediterranean","1990","75.5","43.4"
"Western Pacific","2016","10.8","6.5"
"Western Pacific","2015","11.4","6.8"
"Western Pacific","2014","11.9","7.2"
"Western Pacific","2013","12.6","7.6"
"Western Pacific","2012","13.4","8.0"
"Western Pacific","2011","14.1","8.6"
"Western Pacific","2010","15.0","9.1"
"Western Pacific","2009","15.9","9.8"
"Western Pacific","2008","16.9","10.5"
"Western Pacific","2007","17.9","11.4"
"Western Pacific","2006","19.2","12.4"
"Western Pacific","2005","20.5","13.5"
"Western Pacific","2004","22.0","14.5"
"Western Pacific","2003","23.6","15.6"
"Western Pacific","2002","25.2","16.7"
"Western Pacific","2001","26.8","17.7"
"Western Pacific","2000","28.3","18.7"
"Western Pacific","1999","29.7","19.6"
"Western Pacific","1998","31.1","20.5"
"Western Pacific","1997","32.3","21.4"
"Western Pacific","1996","33.6","22.3"
"Western Pacific","1995","34.8","23.4"
"Western Pacific","1994","36.1","24.3"
"Western Pacific","1993","37.3","25.2"
"Western Pacific","1992","38.4","25.9"
"Western Pacific","1991","39.3","26.4"
"Western Pacific","1990","40.0","26.8"
"Global","2016","30.5","18.6"
"Global","2015","31.4","19.1"
"Global","2014","32.4","19.6"
"Global","2013","33.6","20.2"
"Global","2012","34.7","20.8"
"Global","2011","36.0","21.5"
"Global","2010","37.4","22.2"
"Global","2009","38.8","22.9"
"Global","2008","40.3","23.6"
"Global","2007","41.8","24.4"
"Global","2006","43.4","25.3"
"Global","2005","45.1","26.1"
"Global","2004","46.9","27.0"
"Global","2003","48.6","28.0"
"Global","2002","50.3","28.9"
"Global","2001","52.1","29.8"
"Global","2000","53.9","30.7"
"Global","1999","55.4","31.5"
"Global","1998","56.9","32.3"
"Global","1997","58.2","33.1"
"Global","1996","59.4","33.7"
"Global","1995","60.5","34.4"
"Global","1994","61.4","34.9"
"Global","1993","62.3","35.4"
"Global","1992","63.1","35.9"
"Global","1991","63.9","36.3"
"Global","1990","64.8","36.8"

